country_code,region_country_area,year,series,value,notes,source
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),3.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),220983187.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),247958644.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),15097633.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)",2343919.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),40518150.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),57959702.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (number),280598105.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (% total population),3.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2020,International migrant stock: Male (% total Population),3.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2020,International migrant stock: Female (% total Population),3.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
1,"Total, all countries or areas",2020,Total refugees and people in refugee-like situations (number),20677233.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2020,"Asylum seekers, including pending cases (number)",4177842.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2020,Other of concern to UNHCR (number),58976407.0,"Including Venezuelans displaced abroad.;Exclude 1122390 Stateless persons of Rohingya ethnicity in Bangladesh, India, Indonesia, Malaysia, Myanmar, Nepal, Pakistan, Sri Lanka, and Thailand.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2020,Total population of concern to UNHCR (number),83831482.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2023,Total refugees and people in refugee-like situations (number),30510633.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
1,"Total, all countries or areas",2023,"Asylum seekers, including pending cases (number)",6081121.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
